key;name;lines;edges
185;Ourcq;;
187;Parmentier;;
188;Passy;;
189;Pasteur;;
190;Pelleport;;
191;Pere-Lachaise;;
192;Pereire;;
194;Philippe Auguste;;
195;Picpus;;
196;Pierre et Marie Curie;;
197;Pigalle;;
198;Place de Clichy;;
199;Place des F?tes;;
200;Place d'Italie;;
201;Place Monge (Jardin des Plantes);;
203;Pointe du Lac;;
204;Poissonniere;;
205;Pont de Levallois-Becon;;
207;Pont de Sevres;;
208;Pont Marie (Cite des Arts);;
209;Pont Neuf;;
210;Porte Dauphine (Marechal de Lattre de Tassigny);;
212;Porte de Bagnolet;;
213;Porte de Champerret;;
214;Porte de Charenton;;
215;Porte de Choisy;;
216;Porte de Clichy;;
218;Porte de la Chapelle;;
219;Porte de la Villette;;
220;Porte de Montreuil;;
221;Porte de Pantin;;
222;Porte de Saint-Cloud;;
223;Porte de Saint-Ouen;;
225;Porte de Versailles;;
227;Porte des Lilas;;
228;Porte d'Italie;;
229;Porte d'Ivry;;
230;Porte Doree;;
233;Pre-Saint-Gervais;;
234;Pyramides;;
235;Pyrenees;;
236;Quai de la Gare;;
237;Quai de la Rapee;;
238;Quatre Septembre;;
239;Rambuteau;;
240;Ranelagh;;
243;Rennes;;
244;Republique;;
246;Richard-Lenoir;;
247;Richelieu-Drouot;;
248;Riquet;;
249;Robespierre;;
250;Rome;;
251;Rue de la Pompe (Avenue Georges Mandel);;
252;Rue des Boulets;;
253;Rue du Bac;;
254;Rue Saint-Maur;;
255;Saint-Ambroise;;
256;Saint-Augustin;;
257;Saint-Denis-Porte de Paris;;
258;Saint-Denis-Universite;;
259;Saint-Fargeau;;
261;Saint-Georges;;
263;Saint-Jacques;;
266;Saint-Marcel;;
269;Saint-Philippe du Roule;;
271;Saint-Sebastien-Froissart;;
274;Sentier;;
276;Sevres-Lecourbe;;
278;Solferino;;
279;Stalingrad;;
281;Sully-Morland;;
282;Telegraphe;;
283;Temple;;
284;Ternes;;
285;Tolbiac;;
286;Trinite-d'Estienne d'Orves;;
287;Trocadero;;
291;Vaugirard (Adolphe Cherioux);;
293;Victor Hugo;;
294;Villejuif-Leo Lagrange;;
295;Villejuif-Louis Aragon;;
296;Villejuif-Paul Vaillant Couturier (H?pital Paul Brousse);;
297;Villiers;;
298;Volontaires;;
299;Voltaire (Leon Blum);;
300;Wagram;;
